

 --------- beginning of events

01-01 05:30:05.479   410   410 I snet_event_log: [121035042,-1,]
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.modem.IRadioModem/se1.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.modem.IRadioModem/se2.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.modem.IRadioModem/se3.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.modem.IRadioModem/se4.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/se1.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/se2.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/se3.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/se4.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.sim.IMtkRadioExSim/slot1.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.sim.IMtkRadioExSim/slot2.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.sim.IMtkRadioExSim/slot3.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.sim.IMtkRadioExSim/slot4.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.data.IMtkRadioExData/slot1.
01-01 05:30:05.485   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.data.IMtkRadioExData/slot2.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.data.IMtkRadioExData/slot3.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.data.IMtkRadioExData/slot4.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.ims.IMtkRadioExIms/slot1.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.ims.IMtkRadioExIms/slot2.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.ims.IMtkRadioExIms/slot3.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.ims.IMtkRadioExIms/slot4.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.messaging.IMtkRadioExMessaging/slot1.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.messaging.IMtkRadioExMessaging/slot2.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.messaging.IMtkRadioExMessaging/slot3.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.messaging.IMtkRadioExMessaging/slot4.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.modem.IMtkRadioExModem/slot1.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.modem.IMtkRadioExModem/slot2.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.modem.IMtkRadioExModem/slot3.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.modem.IMtkRadioExModem/slot4.
01-01 05:30:05.486   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.network.IMtkRadioExNetwork/slot1.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.network.IMtkRadioExNetwork/slot2.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.network.IMtkRadioExNetwork/slot3.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.network.IMtkRadioExNetwork/slot4.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.voice.IMtkRadioExVoice/slot1.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.voice.IMtkRadioExVoice/slot2.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.voice.IMtkRadioExVoice/slot3.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.voice.IMtkRadioExVoice/slot4.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.rcs.IMtkRadioExRcs/slot1.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.rcs.IMtkRadioExRcs/slot2.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.rcs.IMtkRadioExRcs/slot3.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for vendor.mediatek.hardware.mtkradioex.rcs.IMtkRadioExRcs/slot4.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for android.hardware.radio.network.IRadioNetwork/imsSlot1.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for android.hardware.radio.network.IRadioNetwork/imsSlot2.
01-01 05:30:05.487   410   410 I auditd  : Multiple same specifications for android.hardware.radio.network.IRadioNetwork/imsSlot3.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.network.IRadioNetwork/imsSlot4.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/imsSlot1.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/imsSlot2.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/imsSlot3.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.sim.IRadioSim/imsSlot4.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.voice.IRadioVoice/imsSlot1.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.voice.IRadioVoice/imsSlot2.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.voice.IRadioVoice/imsSlot3.
01-01 05:30:05.488   410   410 I auditd  : Multiple same specifications for android.hardware.radio.voice.IRadioVoice/imsSlot4.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for DCMPluginService.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for android.race.osal.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for wifiplatservice.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for BTPluginService.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for BTTransportService.
01-01 05:30:05.489   410   410 I auditd  : Multiple same specifications for vendor.visteon.wireless_androidauto.IProjectionServer/default.
01-01 05:30:05.493   410   410 I auditd  : SELinux: Loaded service_contexts from:
01-01 05:30:05.493   410   410 I auditd  :     /system/etc/selinux/plat_service_contexts
01-01 05:30:05.493   410   410 I auditd  :     /system_ext/etc/selinux/system_ext_service_contexts
01-01 05:30:05.493   410   410 I auditd  :     /product/etc/selinux/product_service_contexts
01-01 05:30:05.493   410   410 I auditd  :     /vendor/etc/selinux/vendor_service_contexts
01-01 05:30:05.563   412   412 I snet_event_log: [121035042,-1,]
01-01 05:30:01.792   304   304 I auditd  : type=1400 audit(0.0:2): avc: denied { getattr } for comm="logo_thread" path="pipe:[12952]" dev="pipefs" ino=12952 scontext=u:r:kernel:s0 tcontext=u:object_r:unlabeled:s0 tclass=fifo_file permissive=1
01-01 05:30:01.792   304   304 I auditd  : type=1400 audit(0.0:3): avc: denied { read } for comm="logo_thread" path="pipe:[12952]" dev="pipefs" ino=12952 scontext=u:r:kernel:s0 tcontext=u:object_r:unlabeled:s0 tclass=fifo_file permissive=1
01-01 05:30:02.224   408   408 I auditd  : type=1403 audit(0.0:4): auid=4294967295 ses=4294967295 lsm=selinux res=1
01-01 05:30:03.596   366   366 I auditd  : type=1400 audit(0.0:5): avc: denied { execute } for comm="initfastrvc" name="sh" dev="dm-10" ino=515447 scontext=u:r:kernel:s0 tcontext=u:object_r:vendor_shell_exec:s0 tclass=file permissive=1
01-01 05:30:03.596   366   366 I auditd  : type=1400 audit(0.0:6): avc: denied { read open } for comm="initfastrvc" path="/vendor/bin/sh" dev="dm-10" ino=515447 scontext=u:r:kernel:s0 tcontext=u:object_r:vendor_shell_exec:s0 tclass=file permissive=1
